"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"f:\do_an\shop-admin\src\app\component\chart\chart.component.css", "CSS", 0, 0, 38, 0, 8, 46
"f:\do_an\shop-admin\src\app\component\chart\chart.component.html", "HTML", 0, 53, 0, 9, 5, 67
"f:\do_an\shop-admin\src\app\component\chart\chart.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\component\chart\chart.component.ts", "TypeScript", 173, 0, 0, 3, 26, 202
"f:\do_an\shop-admin\src\app\component\feature-info\feature-info.component.css", "CSS", 0, 0, 42, 0, 8, 50
"f:\do_an\shop-admin\src\app\component\feature-info\feature-info.component.html", "HTML", 0, 54, 0, 0, 1, 55
"f:\do_an\shop-admin\src\app\component\feature-info\feature-info.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\component\feature-info\feature-info.component.ts", "TypeScript", 21, 0, 0, 0, 10, 31
"f:\do_an\shop-admin\src\app\component\paging\paging.component.css", "CSS", 0, 0, 24, 0, 5, 29
"f:\do_an\shop-admin\src\app\component\paging\paging.component.html", "HTML", 0, 44, 0, 0, 1, 45
"f:\do_an\shop-admin\src\app\component\paging\paging.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\component\paging\paging.component.ts", "TypeScript", 78, 0, 0, 29, 22, 129
"f:\do_an\shop-admin\src\app\component\sidebar\sidebar.component.css", "CSS", 0, 0, 32, 0, 6, 38
"f:\do_an\shop-admin\src\app\component\sidebar\sidebar.component.html", "HTML", 0, 60, 0, 0, 1, 61
"f:\do_an\shop-admin\src\app\component\sidebar\sidebar.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\component\sidebar\sidebar.component.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"f:\do_an\shop-admin\src\app\component\topbar\topbar.component.css", "CSS", 0, 0, 25, 0, 2, 27
"f:\do_an\shop-admin\src\app\component\topbar\topbar.component.html", "HTML", 0, 7, 0, 0, 1, 8
"f:\do_an\shop-admin\src\app\component\topbar\topbar.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\component\topbar\topbar.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"f:\do_an\shop-admin\src\app\service\api.service.ts", "TypeScript", -78, 0, 0, -7, -25, -110
"f:\do_an\shop-admin\src\app\service\auth.service.ts", "TypeScript", -59, 0, 0, -3, -8, -70
"f:\do_an\shop-admin\src\app\service\error.service.ts", "TypeScript", -23, 0, 0, -6, -6, -35
"f:\do_an\shop-admin\src\app\service\http.service.ts", "TypeScript", -19, 0, 0, 0, -3, -22
"f:\do_an\shop-admin\src\app\service\loading.service.ts", "TypeScript", -20, 0, 0, 0, -4, -24
"f:\do_an\shop-admin\src\app\service\model.service.ts", "TypeScript", -3, 0, 0, 0, -1, -4
"Total", "-", 182, 218, 161, 25, 85, 671
