"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"f:\do_an\shop-admin\src\app\component\chart\chart.component.css", "CSS", 0, -38, 0, 0, -8, -46
"f:\do_an\shop-admin\src\app\component\chart\chart.component.html", "HTML", 0, 0, -53, -9, -5, -67
"f:\do_an\shop-admin\src\app\component\chart\chart.component.spec.ts", "TypeScript", -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\component\chart\chart.component.ts", "TypeScript", -173, 0, 0, -3, -26, -202
"f:\do_an\shop-admin\src\app\component\feature-info\feature-info.component.css", "CSS", 0, -42, 0, 0, -8, -50
"f:\do_an\shop-admin\src\app\component\feature-info\feature-info.component.html", "HTML", 0, 0, -54, 0, -1, -55
"f:\do_an\shop-admin\src\app\component\feature-info\feature-info.component.spec.ts", "TypeScript", -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\component\feature-info\feature-info.component.ts", "TypeScript", -21, 0, 0, 0, -10, -31
"f:\do_an\shop-admin\src\app\component\paging\paging.component.css", "CSS", 0, -24, 0, 0, -5, -29
"f:\do_an\shop-admin\src\app\component\paging\paging.component.html", "HTML", 0, 0, -44, 0, -1, -45
"f:\do_an\shop-admin\src\app\component\paging\paging.component.spec.ts", "TypeScript", -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\component\paging\paging.component.ts", "TypeScript", -78, 0, 0, -29, -22, -129
"f:\do_an\shop-admin\src\app\component\sidebar\sidebar.component.css", "CSS", 0, -32, 0, 0, -6, -38
"f:\do_an\shop-admin\src\app\component\sidebar\sidebar.component.html", "HTML", 0, 0, -60, 0, -1, -61
"f:\do_an\shop-admin\src\app\component\sidebar\sidebar.component.spec.ts", "TypeScript", -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\component\sidebar\sidebar.component.ts", "TypeScript", -14, 0, 0, 0, -3, -17
"f:\do_an\shop-admin\src\app\component\topbar\topbar.component.css", "CSS", 0, -25, 0, 0, -2, -27
"f:\do_an\shop-admin\src\app\component\topbar\topbar.component.html", "HTML", 0, 0, -7, 0, -1, -8
"f:\do_an\shop-admin\src\app\component\topbar\topbar.component.spec.ts", "TypeScript", -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\component\topbar\topbar.component.ts", "TypeScript", -8, 0, 0, 0, -3, -11
"f:\do_an\shop-admin\src\app\pages\add-product\add-product.component.css", "CSS", 0, 238, 0, 0, 46, 284
"f:\do_an\shop-admin\src\app\pages\add-product\add-product.component.html", "HTML", 0, 0, 109, 22, 11, 142
"f:\do_an\shop-admin\src\app\pages\add-product\add-product.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\add-product\add-product.component.ts", "TypeScript", 229, 0, 0, 8, 28, 265
"f:\do_an\shop-admin\src\app\pages\history-order-page\history-order-page.component.css", "CSS", 0, 95, 0, 0, 20, 115
"f:\do_an\shop-admin\src\app\pages\history-order-page\history-order-page.component.html", "HTML", 0, 0, 51, 0, 3, 54
"f:\do_an\shop-admin\src\app\pages\history-order-page\history-order-page.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\history-order-page\history-order-page.component.ts", "TypeScript", 115, 0, 0, 1, 18, 134
"f:\do_an\shop-admin\src\app\pages\home\home.component.css", "CSS", 0, 3, 0, 0, 0, 3
"f:\do_an\shop-admin\src\app\pages\home\home.component.html", "HTML", 0, 0, 22, 0, 1, 23
"f:\do_an\shop-admin\src\app\pages\home\home.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\home\home.component.ts", "TypeScript", 222, 0, 0, 9, 26, 257
"f:\do_an\shop-admin\src\app\pages\home\home.model.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"f:\do_an\shop-admin\src\app\pages\inprogress-order-page\inprogress-order-page.component.css", "CSS", 0, 114, 0, 0, 20, 134
"f:\do_an\shop-admin\src\app\pages\inprogress-order-page\inprogress-order-page.component.html", "HTML", 0, 0, 58, 0, 1, 59
"f:\do_an\shop-admin\src\app\pages\inprogress-order-page\inprogress-order-page.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\inprogress-order-page\inprogress-order-page.component.ts", "TypeScript", 79, 0, 0, 1, 10, 90
"f:\do_an\shop-admin\src\app\pages\login\login.component.css", "CSS", 0, 121, 0, 0, 14, 135
"f:\do_an\shop-admin\src\app\pages\login\login.component.html", "HTML", 0, 0, 40, 0, 1, 41
"f:\do_an\shop-admin\src\app\pages\login\login.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\login\login.component.ts", "TypeScript", 67, 0, 0, 2, 9, 78
"f:\do_an\shop-admin\src\app\pages\not-found\not-found.component.css", "CSS", 0, 25, 0, 0, 3, 28
"f:\do_an\shop-admin\src\app\pages\not-found\not-found.component.html", "HTML", 0, 0, 5, 0, 1, 6
"f:\do_an\shop-admin\src\app\pages\not-found\not-found.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\not-found\not-found.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"f:\do_an\shop-admin\src\app\pages\open-order-page\open-order-page.component.css", "CSS", 0, 114, 0, 0, 20, 134
"f:\do_an\shop-admin\src\app\pages\open-order-page\open-order-page.component.html", "HTML", 0, 0, 58, 0, 1, 59
"f:\do_an\shop-admin\src\app\pages\open-order-page\open-order-page.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
